Vendor Name;Min Cost;Min price;;
ADIDAS;50;95;;
AFFLICTION;127;186;;
AIRLOCK;75;125;;
ALAIN MIKLI;230;307;;
Alexander McQueen;141;202;;
ANDY WOLF;131;190;;
GIORGIO ARMANI;110;166;;
ARMANI;110;166;;
ARMANI EXCHANGE;55;101;;
Arnette;46;90;;
Balenciaga;115;172;;
Balmain;137;198;;
BEBE;61;108;;
Blumarine;90;142;;
Bottega Veneta;187;257;;
BREIL;120;177;;
BULOVA;160;224;;
Burberry;75;125;;
Bvlgari;170;236;;
Bulgari;170;236;;
Calvin Klein(glasses);130;189;;
Calvin Klein;160;225;;
Carrera;52;98;;
CAT;89;141;;
Cavalli (Just Cavalli);45;89;;
Cavalli (Roberto Cavalli);110;166;;
CAVIAR;172;239;;
Cazal;230;307;;
Chanel;148;210;;
Chloe;110;166;;
Chopard;282;368;;
Christian Audigier;200;272;;
Chrome Hearts;650;801;;
COACH;65;113;;
COSTA DEL MAR;154;217;;
Cover Girl;58;104;;
CYNTHIA ROWLEY;50;95;;
CRISTIAN ROTH;158;222;;
D SQUARED;89;140;;
DSQUARED;89;140;;
DSQUARED2;89;140;;
D&G (DD glasses);58;105;;
D&G (watches);115;172;;
DIANE VON FURST;70;119;;
Diesel;61;109;;
Dior;99;152;;
DKNY;30;72;;
DOLCE&GABBANA;101;156;;
DOLCE & GABBANA;101;156;;
DOLCE e GABBANA;101;156;;
Earmani;55;101;;
ED Hardy;107;162;;
EDIFICE;162;227;;
EMILIO PUCCI;102;156;;
EMPORIO ARMANI;52;98;;
ESQ by MOVADO;206;279;;
FENDI;102;157;;
Ferragamo;121;178;;
FESTINA;175;242;;
FOSSIL;68;117;;
Fred;338;434;;
Givenchy;160;224;;
G-SHOCK;68;117;;
Gucci (glasses);135;195;;
Gucci (watches);550;683;;
ICE;80;130;;
INVICTA;149;212;;
Jaguar;105;160;;
Jimmy Choo;120;177;;
Juicy Couture;33;75;;
Kate Spade;34;76;;
KENNETH COLE;84;135;;
LACOSTE;70;119;;
Lafont;156;220;;
Lanvin;161;225;;
LILLY PULITZER;16;55;;
MARC by MARC JACOBS;45;89;;
MARC ECKO;80;131;;
Marc Jacobs;140;201;;
Michael;52;97;;
Michael Kors;60;107;;
Michele;998;1210;;
MIKLI BY MIKLI;91;144;;
Miu Miu;135;195;;
MONDAINE;138;198;;
MONT BLANC;130;189;;
MONTBLANC;130;189;;
MYKITA;186;255;;
NAUTICA;96;150;;
NIKE;70;118;;
Nina Ricci;106;161;;
Nine West;25;66;;
OAKLEY;90;143;;
OLIVER PEOPLES;134;194;;
PAUL SMITH;126;185;;
PENGUIN;56;102;;
Persol;111;167;;
Polaroid;40;83;;
Police;85;137;;
POLO RALPH LAUREN;55;101;;
PORSCHE;191;261;;
Prada;115;172;;
Puma;58;105;;
RALPH LAUREN;66;114;;
RayBan;75;125;;
Ray-Ban;75;125;;
Raymond Weil;824;1005;;
Revo;100;154;;
SKAGEN;80;131;;
SONIA RYKIEL;110;166;;
SPY;65;113;;
STARCK EYES;220;295;;
SUBCREW BY MIKLI;125;184;;
SWAROVSKI;157;221;;
TAG HEUER;155;219;;
THE ONE;106;161;;
Tiffany;153;216;;
TIMEX;63;111;;
TOD'S;137;198;;
Tom Ford;150;213;;
TORY BURCH;60;107;;
True Religion;114;170;;
Valentino;110;166;;
Vanni;110;166;;
VERA WANG;70;119;;
Versace;90;142;;
Vint & York;;109;;
VOGUE;14;52;;
VONZIPPER;55;101;;
WILEYX;59;106;;
WITTNAUER;88;140;;
YVES SAINT LAURENT;125;183;;
